"plot","cheatgrass_plant_2020","cheatgrass_litter_2020","bare_ground_2020","other_litter_2020","other_plant_2020","cheatgrass_plant_2021","cheatgrass_litter_2021","bare_ground_2021","other_litter_2021","other_plant_2021","distance_to_highway","slope","burned"
1,0.186,0.164,0.04,0.287,0.323,0.014,0.028,0.058,0.326,0.574,114,0.102,1
2,0.016,0.015,0.019,0.292,0.658,0.005,0,0.135,0.281,0.579,185,0.108,1
3,0.046,0.015,0.08,0.366,0.493,0.026,0,0.146,0.285,0.543,249,0.153,1
4,0.201,0.111,0.136,0.102,0.45,0.01,0,0.256,0.316,0.418,373,0.275,1
5,0.072,0.015,0.07,0.305,0.538,0.033,0.009,0.065,0.186,0.707,130,0.102,0
6,0.105,0.03,0.145,0.25,0.47,0.061,0.018,0.122,0.182,0.617,188,0.14,0
7,0.268,0.081,0.125,0.137,0.389,0.144,0.065,0.161,0.173,0.457,389,0.182,0
8,0.183,0.052,0.134,0.249,0.382,0.096,0.048,0.135,0.269,0.452,484,0.229,0
