Plot,Survey 01,Survey 02,Survey 03,Survey 04,Survey 05,Survey 06,Survey 07,Survey 08,Survey 09,Survey 10
1,0945,0800,0900,0832,0850,0825,0800,0930,0815,0915
2,0936,0810,0910,0824,0900,0815,0810,0920,0805,0930
3,0927,0820,0920,0808,0910,0810,0820,0910,0755,0940
4,0938,0832,0935,0747,0920,0745,0830,0900,0745,0955
5,0826,0905,0745,0935,0817,0850,0855,0830,0920,0800
6,0817,0917,0800,0924,0815,0810,0905,0820,0910,0745
7,0811,0942,0820,0903,0755,0925,0930,0755,0900,0825
8,0800,0954,0835,0853,0745,0945,0945,0745,0850,0840
