"year","plot","bird_count","bird_species"
2020,1,2.75,1.75
2020,2,5.75,3
2020,3,3.25,1.5
2020,4,4.25,2.25
2020,5,6,2.75
2020,6,6.5,2.25
2020,7,4.25,1
2020,8,4.25,1.75
2021,1,2.75,1.5
2021,2,6.25,2.25
2021,3,3,1
2021,4,2.5,0.75
2021,5,1.75,0.75
2021,6,3.5,1.25
2021,7,2,0.5
2021,8,2,1
