"year","plot","mammal_count","mammal_species"
2020,1,29,5
2020,2,80,5
2020,3,75,4
2020,4,36,4
2020,5,172,5
2020,6,99,6
2020,7,53,2
2020,8,17,4
2021,1,33,5
2021,2,50,3
2021,3,94,5
2021,4,35,2
2021,5,204,2
2021,6,71,2
2021,7,24,3
2021,8,19,1
