Plot,Start Time Session 2,Start Time Session 3,Start Time Session 4,Start Time Session 5,Start Time Session 6,Start Time Session 7,Start Time Session 8
1,0751,0834,1035,1012,0746`,1028,0837
2,0820,0823,1050,1022,0757,1041,0849
3,0831,0813,1104,1036,0800,1050,0901
4,0850,0759,1123,1050,0817,1103,0918
5,0958,0705,0952,0946,0719,0948,0809
6,1035,0655,1003,0932,0716,0937,0756
7,1100,0636,0935,0911,0651,0905,0732
8,1110,0621,0922,0858,0643,0857,0718
