"Plot","Image","Mule.Deer","White.Tailed.Deer","Unidentified.Deer","Elk","Unidentified.Ungulate","Coyote","Bobcat","Mountain.Lion","Cottontail","Striped.Skunk","Bat","Unidentified.Mammal","Date","Time"
8,18,,,1,,,,,,,,,,"2021/05/23","0447"
8,19,,,,,,,,,,,,,"2021/05/23","0447"
8,20,,,,,,,,,,,,,"2021/05/23","2109"
8,21,,,,,,,,,,,,,"2021/06/28","1507"
8,22,,,,,,,,,,,,,"2021/06/28","1538"
8,23,,,,,,,,,,,,,"2021/06/28","1602"
8,24,,,,,,,,,,,,,"2021/07/02","0517"
8,25,,,,,,,,,,,,,"2021/07/02","0520"
8,26,1,,,,,,,,,,,,"2021/08/02","1733"
8,27,,,,,,,,,,,,,"2021/08/05","2256"
8,28,,,1,,,,,,,,,,"2021/08/11","1245"
